source,resolution,max_iter,geometry,block_x,block_y,warps,divergence,waste_mean,waste_global,lane_cycles,blocks,block_cost_cov,time_rel_pred
figure_nmax1000.raw,1024x1024,1000,256x1,256,1,32768,10215.0997,0.112387,0.135466,300341440,4096,1.337674,1.000000
figure_nmax1000.raw,1024x1024,1000,512x1,512,1,32768,10215.0997,0.112387,0.135466,300341440,2048,1.252904,1.000000
figure_nmax1000.raw,1024x1024,1000,128x1,128,1,32768,10215.0997,0.112387,0.135466,300341440,8192,1.408022,1.000000
figure_nmax1000.raw,1024x1024,1000,128x2,128,2,32768,10215.0997,0.112387,0.135466,300341440,4096,1.406497,1.000000
figure_nmax1000.raw,1024x1024,1000,64x4,64,4,32768,10215.0997,0.112387,0.135466,300341440,4096,1.507987,1.000000
figure_nmax1000.raw,1024x1024,1000,32x8,32,8,32768,10215.0997,0.112387,0.135466,300341440,4096,1.538417,1.000000
figure_nmax1000.raw,1024x1024,1000,16x16,16,16,32768,5932.1864,0.078233,0.087238,284472192,4096,1.585068,0.947163
figure_nmax1000.raw,1024x1024,1000,8x32,8,32,32768,3688.6232,0.062309,0.068314,278694080,4096,1.588582,0.927924
figure_nmax1000.raw,1024x1024,1000,1x256,1,256,32768,9549.6569,0.117505,0.133415,299630720,4096,1.333199,0.997634
figure_nmax1000.raw,1024x1024,1000,scattered,,,32768,131049.8777,0.663139,0.654328,751162560,,,2.501029
