source,resolution,max_iter,scheme,p,lambda,speedup_bound
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,block,2,1.000000,2.000000
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,cyclic,2,1.000000,2.000000
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,dynamic,2,1.000000,2.000000
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,block,3,2.177008,1.378038
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,cyclic,3,1.000080,2.999760
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,dynamic,3,1.000000,3.000000
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,block,4,1.879793,2.127893
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,cyclic,4,1.000104,3.999584
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,dynamic,4,1.000000,4.000000
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,block,5,2.486878,2.010553
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,cyclic,5,1.000287,4.998563
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,dynamic,5,1.000000,5.000000
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,block,8,2.348927,3.405811
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,cyclic,8,1.001126,7.991005
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,dynamic,8,1.000000,8.000000
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,block,9,2.587669,3.478034
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,cyclic,9,1.000554,8.995013
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,dynamic,9,1.000000,9.000000
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,block,16,2.593736,6.168709
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,cyclic,16,1.001747,15.972095
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,dynamic,16,1.000000,16.000000
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,block,17,2.700786,6.294464
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,cyclic,17,1.001958,16.966787
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,dynamic,17,1.000000,17.000000
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,block,32,2.661855,12.021691
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,cyclic,32,1.009524,31.698123
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,dynamic,32,1.000000,32.000000
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,block,64,2.707552,23.637589
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,cyclic,64,1.016090,62.986532
rowprofile_31391_res1024_nmax1000.csv,1024x1024,1000,dynamic,64,1.000000,64.000000
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,block,2,1.000000,2.000000
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,cyclic,2,1.000000,2.000000
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,dynamic,2,1.000000,2.000000
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,block,3,2.152296,1.393860
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,cyclic,3,1.000061,2.999818
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,dynamic,3,1.000000,3.000000
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,block,4,1.863090,2.146971
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,cyclic,4,1.000105,3.999580
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,dynamic,4,1.000000,4.000000
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,block,5,2.452760,2.038520
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,cyclic,5,1.000294,4.998529
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,dynamic,5,1.000000,5.000000
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,block,8,2.320296,3.447835
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,cyclic,8,1.000851,7.993202
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,dynamic,8,1.000000,8.000000
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,block,9,2.548097,3.532047
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,cyclic,9,1.000575,8.994829
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,dynamic,9,1.000000,9.000000
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,block,16,2.554242,6.264089
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,cyclic,16,1.000952,15.984780
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,dynamic,16,1.000000,16.000000
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,block,17,2.659212,6.392872
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,cyclic,17,1.001695,16.971230
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,dynamic,17,1.000000,17.000000
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,block,32,2.620924,12.209434
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,cyclic,32,1.007868,31.750194
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,dynamic,32,1.000000,32.000000
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,block,64,2.664167,24.022521
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,cyclic,64,1.013470,63.149355
rowprofile_31391_res1024_nmax500.csv,1024x1024,500,dynamic,64,1.000000,64.000000
rowprofile_31391_res1024_nmax5000.csv,1024x1024,5000,block,2,1.000000,2.000000
rowprofile_31391_res1024_nmax5000.csv,1024x1024,5000,cyclic,2,1.000000,2.000000
rowprofile_31391_res1024_nmax5000.csv,1024x1024,5000,dynamic,2,1.000000,2.000000
rowprofile_31391_res1024_nmax5000.csv,1024x1024,5000,block,3,2.199345,1.364043
rowprofile_31391_res1024_nmax5000.csv,1024x1024,5000,cyclic,3,1.000218,2.999346
rowprofile_31391_res1024_nmax5000.csv,1024x1024,5000,dynamic,3,1.000000,3.000000
rowprofile_31391_res1024_nmax5000.csv,1024x1024,5000,block,4,1.894389,2.111499
rowprofile_31391_res1024_nmax5000.csv,1024x1024,5000,cyclic,4,1.000189,3.999243
rowprofile_31391_res1024_nmax5000.csv,1024x1024,5000,dynamic,4,1.000000,4.000000
rowprofile_31391_res1024_nmax5000.csv,1024x1024,5000,block,5,2.517707,1.985934
rowprofile_31391_res1024_nmax5000.csv,1024x1024,5000,cyclic,5,1.000224,4.998880
rowprofile_31391_res1024_nmax5000.csv,1024x1024,5000,dynamic,5,1.000000,5.000000
rowprofile_31391_res1024_nmax5000.csv,1024x1024,5000,block,8,2.374751,3.368775
rowprofile_31391_res1024_nmax5000.csv,1024x1024,5000,cyclic,8,1.001289,7.989702
rowprofile_31391_res1024_nmax5000.csv,1024x1024,5000,dynamic,8,1.000000,8.000000
rowprofile_31391_res1024_nmax5000.csv,1024x1024,5000,block,9,2.624102,3.429745
rowprofile_31391_res1024_nmax5000.csv,1024x1024,5000,cyclic,9,1.001236,8.988892
rowprofile_31391_res1024_nmax5000.csv,1024x1024,5000,dynamic,9,1.000000,9.000000
rowprofile_31391_res1024_nmax5000.csv,1024x1024,5000,block,16,2.630119,6.083374
rowprofile_31391_res1024_nmax5000.csv,1024x1024,5000,cyclic,16,1.002468,15.960611
rowprofile_31391_res1024_nmax5000.csv,1024x1024,5000,dynamic,16,1.000000,16.000000
rowprofile_31391_res1024_nmax5000.csv,1024x1024,5000,block,17,2.739462,6.205598
