paradigm,schedule,p,nodes,resolution,max_iter,pruning,symmetry,T_min,T_median,T_mean,W,lambda_row,lambda_block,cov,speedup,efficiency,karp_flatt_e,comm_fraction,gflops,occupancy,warp_divergence,transfer_time,checksum
cuda,128x1,1,1,1024x1024,1000,0,0,0.005801598,0.005988191,0.0064001516,259655490,2.763759565,,0.9679585338,124.0868907,124.0868907,,,358.0468554,1,10215.09974,0.000218464002,9203734293765563287
cuda,128x1,1,1,1024x1024,1000,0,0,0.005690075,0.005901569,0.006048609633,259655490,2.763759565,,0.9679585338,126.5809744,126.5809744,,,365.0644183,1,10215.09974,0.0002159039974,9203734293765563287
cuda,128x2,1,1,1024x1024,1000,0,0,0.0059841,0.0063198265,0.0066317015,259655490,2.763759565,,0.9679585338,120.3025112,120.3025112,,,347.1272071,1,10215.09974,0.0002300480008,9203734293765563287
cuda,128x2,1,1,1024x1024,1000,0,0,0.005956949,0.0061262675,0.006353362667,259655490,2.763759565,,0.9679585338,120.9100897,120.9100897,,,348.7093678,1,10215.09974,0.000218592003,9203734293765563287
cuda,16x16,1,1,1024x1024,1000,0,0,0.005876669,0.0060750825,0.0065152787,259655490,2.763759565,,0.9679585338,122.5017535,122.5017535,,,353.4730168,1,5932.186403,0.0002221760005,9203734293765563287
cuda,16x16,1,1,1024x1024,1000,0,0,0.005860349,0.006045206,0.0061878007,259655490,2.763759565,,0.9679585338,122.9031305,122.9031305,,,354.4573745,1,5932.186403,0.0002138240039,9203734293765563287
cuda,1x256,1,1,1024x1024,1000,0,0,0.005623314,0.005811453,0.0061645821,259655490,2.763759565,,0.9679585338,128.0209956,128.0209956,,,369.3985291,1,9549.656865,0.0002216320038,9203734293765563287
cuda,1x256,1,1,1024x1024,1000,0,0,0.005631324,0.0058288225,0.005969966933,259655490,2.763759565,,0.9679585338,127.9015802,127.9015802,,,368.8730963,1,9549.656865,0.0002158080041,9203734293765563287
cuda,256x1,1,1,1024x1024,1000,0,0,0.005814318,0.0059716805,0.0064499394,259655490,2.763759565,,0.9679585338,123.8154255,123.8154255,,,357.2635552,1,10215.09974,0.000215583995,9203734293765563287
cuda,256x1,1,1,1024x1024,1000,0,0,0.005775627,0.0059286595,0.0060423168,259655490,2.763759565,,0.9679585338,124.7059822,124.7059822,,,359.6568684,1,10215.09974,0.000216831997,9203734293765563287
cuda,256x1,1,1,1024x1024,1000,0,0,0.00573524,0.0059362675,0.0060907137,259655490,2.763759565,,0.9679585338,125.8241306,125.8241306,,,362.189537,1,10215.09974,0.0002241600007,9203734293765563287
cuda,32x8,1,1,1024x1024,1000,0,0,0.006116153,0.0066303775,0.0069026997,259655490,2.763759565,,0.9679585338,117.7050765,117.7050765,,,339.6324323,1,10215.09974,0.000218592003,9203734293765563287
cuda,32x8,1,1,1024x1024,1000,0,0,0.006086061,0.0064849425,0.006573511433,259655490,2.763759565,,0.9679585338,118.3450573,118.3450573,,,341.3117154,1,10215.09974,0.0002278400064,9203734293765563287
cuda,512x1,1,1,1024x1024,1000,0,0,0.006056833,0.006233145,0.0066364519,259655490,2.763759565,,0.9679585338,118.857868,118.857868,,,342.9587575,1,10215.09974,0.0002210880071,9203734293765563287
