row,iterations
0,2281
1,2288
2,2295
3,2302
4,2309
5,2316
6,2322
7,2329
8,2336
9,2343
10,2350
11,2355
12,2361
13,2368
14,2374
15,2379
16,2386
17,2391
18,2398
19,2402
20,2409
21,2414
22,2421
23,2425
24,2431
25,2437
26,2442
27,2446
28,2490
29,2517
30,2538
31,2555
32,2573
33,2589
34,2603
35,2616
36,2630
37,2642
38,2653
39,2665
40,2694
41,2717
42,2736
43,2754
44,2771
45,2786
46,2808
47,2830
48,2848
49,2865
50,2884
51,2904
52,2946
53,2977
54,3013
55,3047
56,3051
57,3061
58,3095
59,3124
60,3148
61,3187
62,3204
63,3182
64,3211
65,3214
66,3212
67,3212
68,3219
69,3226
70,3246
71,3255
72,3280
73,3304
74,3302
75,3311
76,3331
77,3341
78,3359
79,3383
80,3435
81,3438
82,3459
83,3508
84,3520
85,3597
86,4875
87,7766
88,7610
89,7870
90,6654
91,3837
92,3772
93,3795
94,3795
95,3763
96,3740
97,3739
98,3768
99,3812
100,3846
101,3859
102,3923
103,3964
104,3957
105,4022
106,4072
107,6111
108,6410
109,4109
110,4072
111,4128
112,4082
113,4069
114,4406
115,4100
116,4120
117,4124
118,4070
119,4069
120,3999
121,3994
122,4010
123,4008
124,4050
125,4065
126,4038
127,4048
128,4099
129,4146
130,4182
131,4253
132,4370
133,6256
134,4299
135,4243
136,4287
137,4333
138,4442
139,4429
140,4441
141,4571
142,4806
143,4818
144,5105
145,5880
146,6369
147,9046
148,9275
149,9558
150,9903
151,15047
152,17943
153,21099
154,21539
155,23190
156,22237
157,23268
158,24533
159,24097
160,24792
161,24375
162,23159
163,24267
164,23874
165,20365
166,18914
167,18453
168,17395
169,28643
170,34981
171,41339
172,46697
173,49132
174,48976
175,54306
176,59059
177,59388
178,63726
179,69501
180,71156
181,74085
182,74380
183,76876
184,81901
185,83642
186,83288
187,80170
188,80955
189,80476
190,81841
191,80880
192,78156
193,78226
194,79893
195,81380
196,79830
197,81231
198,82412
199,83087
200,83868
201,84144
202,87505
203,87436
204,89662
205,87612
206,89514
207,87685
208,87303
209,88067
210,85563
211,84274
212,83168
213,82298
214,82382
215,81850
216,84305
217,84479
218,83217
219,83046
220,80563
221,81808
222,77822
223,76408
224,76696
225,77150
226,77420
227,74440
228,73737
229,70946
230,70892
231,71608
232,67366
233,66065
234,64411
235,62868
236,60082
237,58071
238,57604
239,53327
240,51525
241,48246
242,46662
243,42477
244,40274
245,41896
246,69438
247,93541
248,112543
249,123872
250,134551
251,141464
252,148944
253,161757
254,168540
255,177515
256,182670
257,190142
258,198896
259,199007
260,208720
261,214412
262,218521
263,221135
264,228680
265,232289
266,237130
267,240673
268,241758
269,243826
270,251958
271,258932
272,265538
273,269843
274,277726
275,280220
276,294070
277,307244
278,316604
279,319369
280,323876
281,325861
282,333627
283,337165
284,341068
285,338369
286,337626
287,337862
288,340170
289,342918
290,346686
291,348590
292,348235
293,349380
294,347780
295,348348
296,345390
297,342259
298,337196
299,339447
300,344552
301,348133
302,347670
303,345139
304,347818
305,348665
306,349823
307,350296
308,350520
309,351618
310,350899
311,350468
312,340620
313,337967
314,340429
315,344863
316,349029
317,348554
318,353428
319,351868
320,353631
321,355560
322,354116
323,356509
324,358834
325,361651
326,363570
327,366729
328,369315
329,375969
330,386328
331,390843
332,392226
333,392361
334,390023
335,392864
336,393930
337,395282
338,395927
339,398231
340,401902
341,406529
342,407482
343,404464
344,402833
345,401877
346,397742
347,393994
348,392856
349,394419
350,396416
351,398356
352,399152
353,400987
354,403323
355,407751
356,407448
357,407412
358,409146
359,411607
360,411674
361,414516
362,412210
363,416279
364,421207
365,427318
366,428478
367,432883
368,439755
369,445780
370,451558
371,455661
372,455228
373,455380
374,454016
375,450524
376,450702
377,451058
378,447293
379,444827
380,441943
381,441914
382,442819
383,439515
384,435800
385,433232
386,434911
387,439380
388,438059
389,436056
390,438436
391,438473
392,438874
393,442613
394,449443
395,454169
396,452679
397,454988
398,459562
399,463510
400,466381
401,466737
402,470792
403,475556
404,476376
405,478422
406,483683
407,488577
408,495543
409,507129
410,523820
411,533818
412,541682
413,548301
414,545260
415,552130
416,553875
417,560968
418,570359
419,576427
420,580309
421,583429
422,581811
423,581925
424,583420
425,582000
426,581689
427,583893
428,586364
429,582532
430,585210
431,587472
432,586397
433,591460
434,594576
435,596446
436,601914
437,608048
438,609068
439,608202
440,604769
441,606230
442,609900
443,612931
444,618468
445,622734
446,625648
447,623742
448,628409
449,633975
450,639297
451,639673
452,636679
453,635002
454,633200
455,636414
456,633060
457,630324
458,633307
459,633816
460,638040
461,635008
462,638092
463,637849
464,642288
465,643225
466,643419
467,644318
468,646945
469,645276
470,648166
471,647521
472,649028
473,644056
474,645932
475,646141
476,648023
477,646396
478,644970
479,645589
480,648576
481,649276
482,651887
483,651803
484,648830
485,652272
486,651308
487,658260
488,666724
489,673007
490,675497
491,673956
492,674841
493,676416
494,679668
495,681740
496,680508
497,682177
498,683513
499,682967
500,681584
501,685121
502,683124
503,683242
504,682443
505,681486
506,683802
507,691613
508,692842
509,693943
510,695684
511,700806
512,700806
513,695684
514,693943
515,692842
516,691613
517,683802
518,681486
519,682443
520,683242
521,683124
522,685121
523,681584
524,682967
525,683513
526,682177
527,680508
528,681740
529,679668
530,676416
531,674841
532,673956
533,675497
534,673007
535,666724
536,658260
537,651308
538,652272
539,648830
540,651803
541,651887
542,649276
543,648576
544,645589
545,644970
546,646396
547,648023
548,646141
549,645932
550,644056
551,649028
552,647521
